"5","免疫系统疾病","猫白血病","case-猫白血病-1.jpg","case-猫白血病-1.mp4","一只4岁的英国短毛猫，主人反映最近食欲不振、体重下降，体温升高。",,,"血液检查发现白细胞计数异常，猫白血病病毒检测呈阳性。",,,"猫白血病。",,,"给予免疫抑制剂、抗病毒药物等治疗。",,
"6","神经系统疾病","犬癫痫",,,"一只3岁的贵宾犬，主人反映最近出现意识丧失、抽搐等症状。",,,"宠物CT检查发现大脑部分区域异常，脑电图检查发现脑电波异常。",,,"犬癫痫。",,,"给予抗癫痫药物等治疗。",,
"7","消化系统疾病","猫饮食障碍",,,"一只6岁的美国短毛猫，主人反映最近食欲减退、腹胀等症状。",,,"腹部X光检查发现肠道积气、消化不良。",,,"猫饮食障碍。",,,"给予肠道促动剂、饮食调节等治疗。",,
"8","肝脏疾病","犬肝病",,,"一只5岁的德国牧羊犬，主人反映最近食欲不振、体重下降，口腔出血。",,,"血液检查发现肝功能异常，肝脏超声检查发现肝脏受损。",,,"犬肝病。",,,"给予肝脏保护剂、营养支持等治疗。",,
"9","传染病","犬瘟",,,"一只2岁的贵宾犬，主人反映犬只精神不振，食欲不佳，眼睛发红。",,,"犬只体温升高，呼吸急促，喉部有干咳声，眼结膜充血。血液检查发现白细胞和淋巴细胞明显下降。",,,"犬瘟",,,"给予营养支持和抗病毒治疗。",,
"10","口腔疾病","犬口炎",,,"一只3岁的比熊犬，主人反映犬只最近不愿意进食，口臭严重。",,,"口腔检查发现口腔黏膜充血、溃疡，并有牙龈出血。",,,"犬口炎",,,"给予口腔抗生素、止痛药等治疗。",,
"11","传染病","猫传染性腹膜炎",,,"一只4岁的短毛猫，主人反映猫只最近食欲下降，呕吐。",,,"猫只腹部触诊明显有液体积聚，腹部X光检查发现腹膜间隙明显增宽。",,,"猫传染性腹膜炎",,,"给予抗生素、营养支持等治疗。",,
"12","其他","猫脱水症",,,"一只1岁的美国短毛猫，主人反映猫只最近排尿减少，食欲下降，精神萎靡。",,,"猫只脱水，口腔粘膜干燥，皮肤弹性差。",,,"猫脱水症",,,"给予补液治疗，并寻找病因。",,
"13","犬外伤","犬骨折",,,"一只2岁的金毛犬，左后腿跛行，主人反映曾有重物压到其身上",,,"X光检查显示左腿骨折",,,"犬骨折",,,"给予固定支架固定，定期更换",,
"14","犬消化系统疾病","犬急性胰腺炎",,,"一只5岁的贵宾犬，主人反映犬只最近食欲不振、呕吐、腹泻",,,"血液检查显示胰腺酶升高",,,"犬急性胰腺炎",,,"禁食，给予营养支持、抗生素、胰酶抑制剂等治疗",,
"15","猫内分泌疾病","猫糖尿病",,,"一只7岁的橘猫，主人反映猫只最近饮水量增加、食欲不振",,,"血液检查显示血糖升高",,,"猫糖尿病",,,"控制饮食，给予胰岛素注射治疗",,
"16","犬口腔疾病","犬口腔溃疡",,,"一只3岁的比熊犬，主人反映犬只口腔内有明显溃疡",,,"口腔检查显示口腔黏膜溃疡",,,"犬口腔溃疡",,,"给予口腔抗炎药、口腔清洁液等治疗",,
"17","猫呼吸道疾病","猫感冒",,,"一只1岁的蓝猫，主人反映猫只最近打喷嚏、流涕、食欲不振",,,"呼吸道检查发现鼻腔充血",,,"猫感冒",,,"给予抗生素、退热药等治疗，避免着凉",,
"18","犬传染病","犬瘟热",,,"一只3个月大的哈士奇犬，主人反映犬只出现发热、咳嗽、流涕等症状。",,,"血液检查发现白细胞和血小板减少，病毒核酸检测呈阳性。",,,"犬瘟热。",,,"给予抗生素、输液、营养支持等治疗，隔离并严密观察。",,
"19","犬内分泌疾病","犬糖尿病",,,"一只7岁的贵宾犬，主人反映犬只最近出现口渴、多尿、食欲减退等症状。",,,"血液检查发现血糖和尿糖升高。",,,"犬糖尿病。",,,"限制饮食、口服降糖药、定期测量血糖并调整治疗。",,
"20","猫传染病","猫病毒性鼻气管炎",,,"一只4岁的波斯猫，主人反映猫只出现喷嚏、流涕、食欲减退等症状。",,,"病理检查发现鼻腔有炎症和浆液性分泌物。",,,"猫病毒性鼻气管炎。",,,"给予抗生素、营养支持、保持环境清洁卫生等治疗。",,
"21","犬心血管疾病","犬心包积液",,,"一只6岁的金毛犬，主人反映犬只最近出现咳嗽、气促等症状。",,,"心脏超声检查发现心包积液。",,,"犬心包积液。",,,"给予穿刺抽液、口服利尿剂、心脏营养药等治疗。",,
"22","其他","糖尿病","case-糖尿病-1.jpg","case-糖尿病-1.mp4","1","case-糖尿病-2.jpg","case-糖尿病-2.mp4","2",,,"3",,,"4",,
